Substation Name,Nominal Voltage (kV),Primary Group,Grid Group,Firm Capacity (MVA),Maximum Load (MVA),Minimum Load (MVA),Generation Connected (MW),Generation Contracted (MW),33kV Overall Category,Overall Category,33kV Generation Capacity,33kV Wider Constraints,HV Reverse Power Flow,HV Generation Capacity,HV Fault Level,HV Wider Constraints,District,X,Y
WEM,33/11,WEM T1,OSWESTRY GT5 / WHITCHURCH GT1,7.5,4.71,1.18,1.0,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Dee Valley & Mid Wales,350376.969,329137.351
WEST FELTON,33/11,WEST FELTON T1,OSWESTRY GT5 / WHITCHURCH GT1,4.0,2.92,0.73,1.5,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,334461.191,326345.433
WHITCHURCH,33/11,WHITCHURCH T1,OSWESTRY GT5 / WHITCHURCH GT1,11.0,5.04,1.26,3.5,0.19,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,352599.36,342827.161
WISTASTON HALL,33/11,WISTASTON HALL T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,7.5,4.38,1.1,0.0,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Mid Cheshire,368515.712,354216.384
YOCKINGS GATE,33/11,YOCKINGS GATE T1,OSWESTRY GT5 / WHITCHURCH GT1,10.0,3.42,0.85,0.12,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Dee Valley & Mid Wales,354729.481,341987.499
YSBYTY GLAN CLWYD,33/11,YSBYTY GLAN CLWYD T1,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,7.5,3.82,0.96,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,North Wales,300169.251,375955.365
ABERGELE,33/11,ABERGELE T1 / PENSARN T1,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,10.0,7.96,1.99,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Green,Amber,North Wales,296005.225,376521.589
ACORNFIELD ROAD,33/11,ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,30.0,14.71,3.68,0.04,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,343609.632,398491.712
ACTON,33/11,ACTON T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,7.5,4.99,1.25,0.03,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Mid Cheshire,363081.973,353442.86
MATHER AVENUE,33/11,AIGBURTH VALE T1 / IVY AVE T1 / MATHER AVE T1 / MOSSLEY HILL T1 / WAVERTREE T1,GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,37.5,18.97,4.74,0.0,0.0,AMBER,RED,Green,Amber,Amber,Green,Red,Amber,Merseyside,339789.792,387497.664
BROUGHTON RETAIL PARK,33/11,AIRBUS T1 / BROUGHTON RETAIL PARK T1 / MIXALLOY T1,CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,20.0,7.01,1.75,3.09,0.0,RED,RED,Green,Red,Red,Red,Amber,Amber,Dee Valley & Mid Wales,335003.568,363750.86
