Substation Name,Nominal Voltage (kV),Primary Group,Grid Group,Firm Capacity (MVA),Maximum Load (MVA),Minimum Load (MVA),Generation Connected (MW),Generation Contracted (MW),33kV Overall Category,Overall Category,33kV Generation Capacity,33kV Wider Constraints,HV Reverse Power Flow,HV Generation Capacity,HV Fault Level,HV Wider Constraints,District,X,Y
GLAN YR AFON,33/11,GLAN-YR-AFON T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,7.5,2.28,0.57,6.52,0.0,RED,RED,Red,Amber,Green,Red,Green,Amber,Dee Valley & Mid Wales,302039.526,342558.54
MURDISHAW,33/11,HALTON RD T1 / MURDISHAW T1 / PERCIVAL LA T4 / RUNCORN CENTRAL T1,DUTTON GT2 / MOORE GT1 / PERCIVAL LA GT1,25.0,18.15,4.54,5.07,0.0,RED,RED,Green,Red,Red,Red,Red,Amber,Wirral,355886.528,381049.376
PARADISE STREET,33/6.3,HARRINGTON ST T1 / PARADISE ST T1,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,8.7,5.19,1.3,1.0,0.0,AMBER,RED,Green,Amber,Red,Red,Red,Amber,Merseyside,334588.607,389912.663
HATHERTON,33/11,HATHERTON T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,4.0,1.76,0.44,0.0,1.0,RED,AMBER,Red,Red,Amber,Amber,Green,Amber,Mid Cheshire,368026.148,347274.361
LACHE,33/11,HERONS WAY T1 / LACHE T1 / MBNA T1 / SMFS KINGSMEADOW T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,30.0,10.58,2.65,0.13,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Wirral,338254.592,363972.864
SMFS KINGSMEADOW,33/11,HERONS WAY T1 / LACHE T1 / MBNA T1 / SMFS KINGSMEADOW T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,30.0,10.58,2.65,0.13,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Wirral,339992.259,363161.13
LIME STREET,33/11,HIGHFIELD ST T2 / LIME ST T2 / OLD HAYMARKET T1,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,20.0,9.06,2.27,0.0,0.0,AMBER,AMBER,Green,Amber,Amber,Amber,Amber,Amber,Merseyside,334916.128,390485.632
HOLT LANE WARR RD,33/11,HOLT LA (WARRINGTON RD) T1 / PRESCOT T1 / RAINHILL LOCAL T1 / WHISTON HOSP T1,BOLD G2A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,30.0,19.43,4.86,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,348270.4,391852.064
WOOLTON,33/11,HUNTS CROSS T1 / KENTON RD T1 / WOODEND AVE T1 / WOOLTON T1,HALEWOOD G1B / HALEWOOD G2B / HALEWOOD GT3 / SPEKE GT1A,30.0,16.65,4.16,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,342611.461,386722.378
IFTON T1,33/11,IFTON T1 / IFTON T2,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,10.0,5.92,1.48,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,332253.426,337265.79
MARLED HEY,33/11,KNOWSLEY T1 / MARLED HEY T1,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,10.0,4.26,1.06,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Green,Amber,Merseyside,342095.328,393667.84
LCWW HUNTINGTON,33/6.6,LCWW HUNTINGTON T1 / LCWW HUNTINGTON T2,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,9.1,4.46,1.12,0.25,0.0,RED,RED,Green,Red,Amber,Red,Red,Amber,Wirral,342162.222,363981.204
LLAINGOCH,33/11,LLAINGOCH T1,AMLWCH GT1 / CAERGEILIOG GT1,7.5,3.13,0.78,0.0,0.0,RED,RED,Red,Amber,Red,Red,Green,Amber,North Wales,223501.206,382482.921
LLANARMON,33/11,LLANARMON T1,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,7.5,1.54,0.39,0.0,0.0,RED,AMBER,Green,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,318583.175,356305.283
LLANDDEUSANT,33/11,LLANDDEUSANT T1,AMLWCH GT1 / CAERGEILIOG GT1,7.5,3.66,0.91,0.63,0.0,RED,RED,Red,Amber,Red,Red,Green,Amber,North Wales,235600.709,384069.017
LLANDEGFAN,33/11,LLANDEGFAN T1,AMLWCH GT1 / CAERGEILIOG GT1,7.5,2.43,0.61,1.05,0.0,RED,AMBER,Red,Amber,Green,Green,Green,Amber,North Wales,256141.714,373861.287
LLANDUDNO,33/11,LLANDUDNO T1 / LLANDUDNO T2,COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,10.0,5.99,1.5,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Green,Amber,North Wales,278543.84,381211.072
LLANIDLOES,33/11,LLANIDLOES T1 / LLANIDLOES T2,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,5.73,4.27,1.07,2.28,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Dee Valley & Mid Wales,295752.26,285285.181
LORD STREET,33/11,LORD ST T1 / MARSHSIDE T1 / MULLARDS BALMORAL DV T1 / SOUTHPORT T2,FORMBY GT2B / SOUTHPORT GT1 / SOUTHPORT GT2,30.0,17.69,4.42,0.0,1.21,RED,RED,Green,Red,Red,Green,Red,Amber,Merseyside,334093.627,417610.691
SPITAL,33/11,LOWER BEBINGTON T1 / NEW FERRY T1 / SPITAL T1 / UNILEVER RESEARCH T1,BROMBOROUGH GT3 / ROCK FERRY GT2,30.0,14.48,3.62,3.87,0.08,RED,RED,Green,Red,Red,Red,Red,Amber,Wirral,333047.616,383175.84
LUGSDALE,33/11,LUGSDALE T1 / PILK SULLIVAN T1 / PILK SULLIVAN T2 / USAC T1,BOLD G2A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,30.0,9.41,2.35,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Merseyside,351944.714,385718.753
USAC,33/11,LUGSDALE T1 / PILK SULLIVAN T1 / PILK SULLIVAN T2 / USAC T1,BOLD G2A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,30.0,9.41,2.35,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Merseyside,352752.722,385818.083
MAES Y CLAWDD,33/11,MAES-Y-CLAWDD T1,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,7.5,4.59,1.15,1.25,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,330428.175,327996.082
MDHB EGERTON DOCK,33/6.6,MDHB EGERTON DOCK T1 / MDHB EGERTON DOCK T2,PRENTON GRID GT1 / ROCK FERRY GT1,9.1,5.44,1.36,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Wirral,332147.264,389602.464
NEVILL STREET,33/11,NEVILL ST T1 / OCEAN PLAZA T1 / YORK RD T1,FORMBY GT2B / SOUTHPORT GT1 / SOUTHPORT GT2,20.0,10.24,2.56,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Merseyside,333429.568,417531.776
NORTH WALES PAPER,33/11,NORTH WALES PAPER T1 / NORTH WALES PAPER T2 / WOODFIELD AVE T1,BRYMBO GT2 / HAWARDEN GT2 / HOLYWELL GT2,20.0,12.35,3.09,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Dee Valley & Mid Wales,326187.737,371571.183
OMEGA,33/11,NORTH WEST WATER CAMPUS T1 / NORTH WEST WATER CAMPUS T2 / OMEGA T1 / OMEGA T2 / ORION BOULEVARD T1,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,40.0,14.82,3.7,9.19,0.99,RED,RED,Green,Red,Red,Red,Red,Amber,Mid Cheshire,357217.4157,390409.5285
OPTICAL FIBRES,33/11,OPTICAL FIBRES T1 / SHOTWICK T1 / WALBRO T1,DEESIDE PK GRID GT1 / SIXTH AVE GRID GT1,20.0,12.54,3.13,7.22,0.9,RED,RED,Green,Red,Red,Red,Amber,Amber,Wirral,332559.299,370920.706
SOMERFIELD DISTRIBUTION,33/11,LEA GREEN T1 / PILKINGTONS HO T1 / RAVENHEAD RETAIL PK T1 / SOMERFIELD DISTRIBUTION T1,BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2A,20.0,12.61,3.15,4.6,0.0,RED,RED,Green,Red,Red,Red,Amber,Amber,Merseyside,351007.873,392102.402
RHYD-Y-FOEL,33/11,RHYD-Y-FOEL T1,COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,7.5,2.53,0.63,4.11,0.0,RED,AMBER,Red,Red,Green,Amber,Green,Amber,North Wales,291144.849,375781.516
TARPORLEY,33/11,TARPORLEY T1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,7.5,4.12,1.03,0.0,0.0,RED,AMBER,Green,Red,Green,Green,Green,Amber,Wirral,355257.155,361967.442
TARVIN,33/11,TARVIN T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,7.5,5.86,1.46,0.18,0.0,RED,AMBER,Green,Red,Green,Green,Green,Amber,Wirral,349205.114,367252.371
WAENFAWR,33/11,WAENFAWR T1,BANGOR GT2 / CAERNARFON GT2,7.5,3.08,0.77,0.83,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,North Wales,252789.065,360794.183
UNIVERSITY COLLEGE WALES,33/11,ABERYSTWYTH T1 / NORTH RD T1 / PARC-Y-LLYN T1 / PARC-Y-LLYN T2 / U C WALES T1,ABERYSTWYTH GT2 / RHYDLYDAN GT1,37.5,18.55,4.64,0.02,0.0,RED,RED,Red,Red,Amber,Green,Red,Amber,Dee Valley & Mid Wales,259929.449,281515.054
ALLERTON,33/11,ALLERTON T1 / ECP WEST-BANKS RD T1 / GARSTON T1 / WEAVER IND EST T1 / YEW TREE RD T1,GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,37.5,14.24,3.56,0.11,0.0,AMBER,RED,Green,Amber,Amber,Green,Red,Amber,Merseyside,340093.7478,386513.2062
WEAVER IND EST,33/11,ALLERTON T1 / ECP WEST-BANKS RD T1 / GARSTON T1 / WEAVER IND EST T1 / YEW TREE RD T1,GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,37.5,14.24,3.56,0.11,0.0,AMBER,RED,Green,Amber,Amber,Green,Red,Amber,Merseyside,340186.24,383656.544
MIDLAND BANK,33/11,ALMONDS TURN T1 / ATLANTIC COMPLEX T1 / GIRO T1 / MIDLAND BANK T1 / NETHERTON T1,AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,37.5,14.53,3.63,3.0,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,335819.724,397686.096
ALPOCO,33/11,ALPOCO T1,AMLWCH GT1 / CAERGEILIOG GT1,7.5,2.18,0.55,0.0,0.0,RED,RED,Red,Amber,Red,Red,Green,Amber,North Wales,227063.614,380606.298
HORNSBRIDGE,33/11,APPLETON T1 / HORNSBRIDGE T1 / LUGSDALE T2,BOLD G2A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,20.0,16.2,4.05,0.0,0.0,RED,AMBER,Green,Red,Amber,Green,Amber,Amber,Merseyside,352452.832,387845.024
KELLOGGS WREXHAM,33/11,ASH RD T1 / KELLOGGS (WREXHAM) T1 / KELLOGGS (WREXHAM) T2,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,20.0,15.74,3.94,1.75,5.0,RED,RED,Red,Red,Red,Red,Amber,Amber,Dee Valley & Mid Wales,338688.9417,350373.5605
AUDLEM,33/11,AUDLEM T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,7.5,3.56,0.89,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Mid Cheshire,367285.219,344400.844
BROOK BRIDGE,33/11,BEDBURN DV T1 / BLUEBELL LA T1 / BROOKBRIDGE T1 / ECCLESTON T1,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,30.0,17.07,4.27,3.72,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,345730.144,392621.312
BEECH STREET,33/6.3,BEECH ST T1 / LISTER DV A T2,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,8.7,4.07,1.02,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,337448.928,390809.728
RHYD BROUGHTON LANE,33/11,BERSHAM RD T1 / IND COOPE T1 / RHYD BROUGHTON LA T1 / TUTTLE ST T1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,30.0,15.49,3.87,0.0,0.0,RED,RED,Red,Red,Amber,Green,Red,Amber,Dee Valley & Mid Wales,332123.744,350736.16
MARCHWIEL,33/11,BICC WREXHAM T1 / MARCHWIEL T1 / WIE CENTRAL T1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,20.0,12.84,3.21,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Amber,Amber,Dee Valley & Mid Wales,338661.765,349850.91
BIRKENHEAD CENTRAL,33/6.6,BIRKENHEAD CENTRAL T1 / SINGLETON AVE T1 / TRANMERE T1,PRENTON GRID GT1 / ROCK FERRY GT1,18.2,8.46,2.12,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Wirral,332144.864,388673.088
CRANE BANK,33/11,BLACON T1 / COCOA BARRY T1 / CRANE BANK T1 / KNUTSFORD WAY T1 / TOWER WHARF T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,37.5,20.85,5.21,0.0,0.88,RED,RED,Amber,Red,Red,Green,Red,Amber,Wirral,339837.164,366329.578
KNUTSFORD WAY,33/11,BLACON T1 / COCOA BARRY T1 / CRANE BANK T1 / KNUTSFORD WAY T1 / TOWER WHARF T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,37.5,20.85,5.21,0.0,0.88,RED,RED,Amber,Red,Red,Green,Red,Amber,Wirral,338833.888,366797.888
KERSHAW AVENUE,33/11,BLUNDELLSANDS (NORTH) T1 / BLUNDELLSANDS (SOUTH) T1 / CROSBY T1 / KERSHAW AVE T1 / WATERLOO T2,AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,37.5,21.08,5.27,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,332702.144,399200.448
OLDHAM PLACE,33/11,BOLTON ST T1 / GREEK ST T1 / HPO COPPERAS HILL T1 / OLDHAM PLACE T1,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,20.0,14.89,3.72,0.0,0.0,AMBER,RED,Green,Amber,Amber,Green,Red,Amber,Merseyside,335306.352,390044.932
BOTWNNOG,33/11,BOTWNNOG T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,7.5,2.25,0.56,0.0,0.0,RED,RED,Red,Amber,Red,Red,Green,Amber,North Wales,226376.407,331054.045
BOW STREET,33/11,BOW ST T1,ABERYSTWYTH GT2 / RHYDLYDAN GT1,7.5,4.73,1.18,0.5,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,263088.479,285739.942
BRITISH SIDAC,33/6.6,BRITISH SIDAC T1 / SHERDLEY RD T1 / ST HELENS LINKWAY T1 / WATERY LA T1,BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2A,18.2,8.37,2.09,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Merseyside,352951.229,393797.927
CADBURYS,33/11,CADBURYS T1 / CADBURYS T2 / HOPFIELD RD T1,WALLASEY GT1 / WALLASEY GT2 / WOODSIDE GT2,20.0,11.02,2.76,2.73,0.16,RED,RED,Green,Red,Red,Red,Amber,Amber,Wirral,326278.171,390905.783
CAERGWRLE,33/11,CAERGWRLE T1,CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,7.5,5.49,1.37,0.0,0.0,RED,RED,Green,Red,Red,Red,Green,Amber,Dee Valley & Mid Wales,329623.912,358665.752
CEMAES BAY,33/11,CEMAES BAY T1,AMLWCH GT1 / CAERGEILIOG GT1,4.0,1.67,0.42,0.5,0.0,RED,AMBER,Red,Amber,Amber,Amber,Green,Amber,North Wales,236984.903,392777.358
CEMMAES ROAD,33/11,CEMMAES RD T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,4.0,2.46,0.62,1.1,0.0,RED,AMBER,Red,Amber,Amber,Amber,Green,Amber,Dee Valley & Mid Wales,281817.53,304590.748
LYNDENE ROAD,33/11,CHILDWALL T1 / CHILDWALL FIVEWAYS T1 / LYNDENE RD T1 / MIDDLEMASS HEY T1 / NAYLORS RD T1,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,37.5,23.53,5.88,1.01,0.0,RED,RED,Green,Red,Red,Green,Red,Amber,Merseyside,342167.0,388949.31
OVER,33/11,CHURCH ST WINSFORD T1 / OVER T1 / WHARTON PK T1 / WOODFORD PK T1,HARTFORD GT1 / LOSTOCK GT2 / WINSFORD GT1 / WINSFORD GT2,30.0,17.83,4.46,2.22,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Mid Cheshire,364194.176,366156.544
CLEDFORD,33/11,CLEDFORD T1,ELWORTH GT1 / ELWORTH GT2 / KNUTSFORD GT1 / KNUTSFORD GT2,7.5,5.96,1.49,0.35,0.0,RED,RED,Green,Red,Red,Red,Green,Amber,Mid Cheshire,370857.032,364470.548
GEC ST HELENS,33/11,CLOCKFACE T1 / GEC ST HELENS T1 / HILLS MOSS T1 / NCB SUTTON MANOR T2,BOLD G2A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,30.0,12.84,3.21,3.0,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,350829.76,391324.864
CLUBMOOR,33/6.3,CLUBMOOR T1 / DUNLOPS WALTON T1 / WALTON T2,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,17.5,7.2,1.8,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,337807.84,393449.44
EDERN,33/11,EDERN T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,4.0,3.09,0.77,0.0,0.0,RED,RED,Red,Amber,Red,Red,Green,Amber,North Wales,227976.058,338986.842
LISCARD,33/11,EGREMONT T1 / LISCARD T1 / POULTON T1 / STONE MANGANESE T1,WALLASEY GT1 / WALLASEY GT2 / WOODSIDE GT2,30.0,16.38,4.09,0.03,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,330679.072,391858.4
STONE MANGANESE,33/11,EGREMONT T1 / LISCARD T1 / POULTON T1 / STONE MANGANESE T1,WALLASEY GT1 / WALLASEY GT2 / WOODSIDE GT2,30.0,16.38,4.09,0.03,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,331323.936,390574.048
SPEKE SKY PARK,33/11,ESTUARY COMMERCE PK T1 / LEEWARD DR T1 / LEEWARD DR T2 / SPEKE HALL RD T1 / SPEKE SKY PK T1,GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,30.0,8.66,2.16,1.0,0.0,AMBER,RED,Green,Amber,Red,Amber,Red,Amber,Merseyside,342856.256,383051.328
GARDNERS ROW,33/6.3,EVERTON BROW T1 / GARDNERS ROW T1 / SHEIL PK T1,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,17.5,10.74,2.68,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,334730.592,391378.208
FERODO,33/11,FERODO T1,BANGOR GT2 / CAERNARFON GT2,7.5,2.57,0.64,5.0,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,North Wales,249969.808,365496.546
FORD,33/11,FORD T1 / OXTON T1 / PRENTON LOCAL T1 / SINGLETON AVE T2,PRENTON GRID GT1 / ROCK FERRY GT1,30.0,17.62,4.4,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,327949.952,388250.464
FORDEN,33/11,FORDEN T1,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,4.0,3.47,0.87,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Green,Amber,Dee Valley & Mid Wales,322442.719,299655.017
FOUR CROSSES,33/11,FOUR CROSSES T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,4.0,2.33,0.58,7.3,0.0,RED,AMBER,Red,Amber,Green,Amber,Green,Amber,North Wales,239862.5053,339783.7917
GRAVEL,33/11,GRAVEL T1 / WCB PLASTICS T1 / WHARTON T1,HARTFORD GT1 / LOSTOCK GT2 / WINSFORD GT1 / WINSFORD GT2,20.0,6.4,1.6,1.0,0.0,RED,RED,Green,Red,Red,Amber,Amber,Amber,Mid Cheshire,367396.571,366275.653
HARLECH,33/11,HARLECH T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,7.5,2.26,0.57,0.0,0.0,RED,AMBER,Red,Amber,Green,Green,Green,Amber,North Wales,258334.721,331662.548
MBNA,33/11,HERONS WAY T1 / LACHE T1 / MBNA T1 / SMFS KINGSMEADOW T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,30.0,10.58,2.65,0.13,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Wirral,340259.776,362904.48
RAINHILL LOCAL,33/11,HOLT LA (WARRINGTON RD) T1 / PRESCOT T1 / RAINHILL LOCAL T1 / WHISTON HOSP T1,BOLD G2A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,30.0,19.43,4.86,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,349720.96,390913.344
HOOTON MAIN,33/11,HOOTON MAIN T1,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,7.5,4.52,1.13,0.0,0.0,RED,AMBER,Green,Red,Green,Green,Green,Amber,Wirral,334692.213,378196.096
HUNTS CROSS,33/11,HUNTS CROSS T1 / KENTON RD T1 / WOODEND AVE T1 / WOOLTON T1,HALEWOOD G1B / HALEWOOD G2B / HALEWOOD GT3 / SPEKE GT1A,30.0,16.65,4.16,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,343610.735,385935.241
MARKET STREET,33/11,IVY ST (SOUTHPORT) T1 / KENSINGTON RD T1 / MARKET ST T1 / SOUTHPORT T1,FORMBY GT2B / SOUTHPORT GT1 / SOUTHPORT GT2,30.0,15.03,3.76,0.0,0.0,RED,RED,Red,Red,Amber,Green,Red,Amber,Merseyside,333585.28,417051.84
LLYSFAEN ROAD,33/11,IVY ST T1 / LLYSFAEN RD T1 / OLD MILL T1,COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,20.0,11.84,2.96,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Amber,Amber,North Wales,287375.36,378178.432
SOUTHDENE,33/11,KELCO T1 / NEWS INTERNATIONAL T1 / NEWS INTERNATIONAL T2 / PALCO T1 / SOUTHDENE T1,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,30.0,17.22,4.3,0.5,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,341769.568,397560.928
LLANDRINIO,33/11,LLANDRINIO T1,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,5.27,2.68,0.67,0.1,0.0,RED,AMBER,Red,Red,Amber,Amber,Green,Amber,Dee Valley & Mid Wales,328345.963,317432.179
LLANDYFRYDOG,33/11,LLANDYFRYDOG T1,AMLWCH GT1 / CAERGEILIOG GT1,7.5,2.3,0.58,0.0,0.0,RED,AMBER,Red,Amber,Green,Green,Green,Amber,North Wales,246395.32,388161.757
NEW FERRY,33/11,LOWER BEBINGTON T1 / NEW FERRY T1 / SPITAL T1 / UNILEVER RESEARCH T1,BROMBOROUGH GT3 / ROCK FERRY GT2,30.0,14.48,3.62,3.87,0.08,RED,RED,Green,Red,Red,Red,Red,Amber,Wirral,333625.028,385288.0406
MAENTWROG,33/11,MAENTWROG T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,7.5,1.56,0.39,0.0,0.0,RED,AMBER,Red,Amber,Green,Green,Green,Amber,North Wales,265437.6426,339474.8214
MOCHDRE,33/11,MOCHDRE T1,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,7.5,3.64,0.91,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,309553.856,290111.104
PLYMYARD,33/11,MORGANITE CERAMICS T1 / PLYMYARD T2 / VAUXHALL NORTH RD T1,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,20.0,6.76,1.69,0.0,0.6,RED,AMBER,Green,Red,Green,Green,Green,Amber,Wirral,335577.362,380465.782
NEW BRIGHTON,33/11,NEW BRIGHTON T1 / SEAVIEW RD T2 / WALLASEY T1 / WALLASEY VILLAGE T1,WALLASEY GT1 / WALLASEY GT2 / WOODSIDE GT2,30.0,14.26,3.57,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,330982.314,393753.865
WALLASEY VILLAGE,33/11,NEW BRIGHTON T1 / SEAVIEW RD T2 / WALLASEY T1 / WALLASEY VILLAGE T1,WALLASEY GT1 / WALLASEY GT2 / WOODSIDE GT2,30.0,14.26,3.57,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,329012.128,392704.512
NWW CAMPUS,33/11,NORTH WEST WATER CAMPUS T1 / NORTH WEST WATER CAMPUS T2 / OMEGA T1 / OMEGA T2 / ORION BOULEVARD T1,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,40.0,14.82,3.7,9.19,0.99,RED,RED,Green,Red,Red,Red,Red,Amber,Mid Cheshire,355956.832,390068.192
OVERTON,33/11,OVERTON T1,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,7.5,3.57,0.89,5.95,0.0,RED,AMBER,Red,Red,Green,Amber,Green,Amber,Dee Valley & Mid Wales,338739.946,340585.793
PARC MENAI,33/11,PARC MENAI T1,BANGOR GT2 / CAERNARFON GT2,7.5,1.48,0.37,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,North Wales,254176.4424,370052.2883
